                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5741,                 67.367,                 6.2941,                0.00333,                      1,                0.05219,                0.01367,                 1.7078,                 13.245,                 2.8568,                0.00024,                0.00024,                0.00024
                      2,                 1.7017,                 16.925,                 2.2911,                0.00333,                      1,                0.06295,                0.03897,                 1.1531,                 12.433,                 2.3974,              0.0004505,              0.0004505,              0.0004505
                      3,                 1.2866,                 13.134,                 1.7781,                0.00333,                      1,                0.04386,                0.02622,                  1.186,                 11.363,                  2.749,             0.00060952,             0.00060952,             0.00060952
                      4,                 1.2414,                 12.461,                 1.8673,                0.27034,                 0.4359,                0.45757,                0.33841,                 0.8285,                 10.541,                 2.0857,             0.00071706,             0.00071706,             0.00071706
                      5,                 1.0496,                 11.321,                 1.5508,                      1,                0.78912,                0.99325,                0.81025,                 0.7771,                 8.8668,                 1.8256,             0.00077312,             0.00077312,             0.00077312
                      6,                 1.1174,                 11.129,                 1.5405,                0.97283,                      1,                  0.995,                0.78853,                0.89113,                  7.643,                 2.0689,              0.0007777,              0.0007777,              0.0007777
                      7,                 1.0802,                 11.029,                 1.6006,                0.99623,                      1,                  0.995,                0.82288,                0.86564,                 4.9829,                 1.9068,              0.0007308,              0.0007308,              0.0007308
                      8,                 1.0209,                 10.071,                 1.4979,                0.99544,                      1,                  0.995,                0.81042,                 0.8191,                 4.3853,                 1.8204,               0.000614,               0.000614,               0.000614
                      9,                 1.0561,                 9.9347,                 1.3829,                  0.998,                      1,                  0.995,                0.83862,                0.76651,                 3.7073,                 1.7551,               0.000614,               0.000614,               0.000614
                     10,                0.95738,                 9.6218,                 1.3698,                0.99811,                      1,                  0.995,                0.84428,                0.74622,                 3.7884,                 1.7166,               0.000416,               0.000416,               0.000416
